loop,DRate Gbps,Pattern,Channel,TXpre,TXpost,TXattn,vos0,vos1,vos2,vos3,vos4,vos5,vos06,vos07,dc,lf,hf,bw,gain,tap1,tap2,tap3,tap4,tap5,tap6,tap7,tap8,tap9,tapA,tapB,tapC,tapD,errors,BER@eh0V,eh@1e10,eh@1e12,eh@1e15,eh@1e17,eh_r2fit,BER@ew0mUI,ew@1e10,ew@1e12,ew@1e15,ew@1e17,ew_r2fit
212,16.0,prbs31,Macallan_BP,3,0,5,126,136,127,128,143,144,127,129,84,3,15,7,0,4,-12,-3,2,1,-1,0,-1,-1,-1,-1,-1,-1,0,2.5308756382705045e-24,87,71,50,37,0.9999034404754639,9.999936464761066e-41,475,433,376,342,0.9996391534805298
213,16.0,prbs31,Macallan_BP,3,0,5,129,138,125,126,140,142,127,129,84,5,15,7,0,7,-6,0,4,2,0,0,0,-1,-1,-1,-1,-1,0,7.999267792295922e-22,78,61,39,25,0.9999892115592957,5.084760757718621e-36,450,400,333,293,0.9999666213989258
214,16.0,prbs31,Macallan_BP,3,0,5,126,135,126,128,143,144,127,129,82,3,15,7,0,4,-12,-4,2,2,-1,0,-1,0,-1,0,-1,-1,0,1.6540934148622385e-24,87,71,50,38,0.9999915361404419,9.999936464761066e-41,483,441,385,351,0.9999164342880249
215,16.0,prbs31,Macallan_BP,3,0,5,128,138,125,126,140,142,127,129,82,5,15,7,0,6,-6,-1,3,3,0,0,0,0,-1,-1,-1,-1,0,6.365077785855015e-22,77,61,39,25,0.9999931454658508,9.638678950631421e-40,462,416,354,317,0.9996544122695923
216,16.0,prbs31,Macallan_BP,3,0,5,127,136,126,128,143,145,127,129,82,3,15,7,0,5,-12,-4,2,2,-1,0,-1,-1,-1,-1,-1,-1,0,3.2801740578629295e-23,84,68,46,32,1.0,9.999936464761066e-41,470,428,371,337,0.9999953508377075
217,16.0,prbs31,Macallan_BP,0,1,0,130,139,123,124,142,143,127,129,102,5,15,7,0,8,-6,3,4,0,0,0,-1,-1,-1,-1,-1,-1,0,2.3380717405894488e-20,83,63,36,20,0.9990274906158447,1.350897068137552e-28,386,331,255,210,0.9986677765846252
218,16.0,prbs31,Macallan_BP,0,1,0,128,137,125,127,143,145,127,129,106,4,15,7,0,6,-11,0,3,0,0,0,-1,0,-1,-1,-1,-1,0,1.193242123861334e-22,93,74,49,34,0.9990429878234863,1.8601691314216878e-36,435,387,324,285,0.9999995231628418
219,16.0,prbs31,Macallan_BP,0,1,0,127,136,125,126,143,145,127,129,102,4,15,7,0,6,-11,1,3,-1,0,0,-1,-1,-1,-1,-1,-1,0,3.7504561617347006e-22,91,72,46,31,0.9996618032455444,1.756322296531712e-33,417,367,300,259,0.9996891617774963
220,16.0,prbs31,Macallan_BP,0,1,0,127,137,125,126,143,144,127,129,100,4,15,7,0,6,-11,-3,3,2,0,0,-1,-1,-1,-1,-1,-1,0,1.3346826395481331e-21,87,68,43,27,0.9999807476997375,2.4724702799315007e-37,439,392,330,291,0.9999993443489075
221,16.0,prbs31,Macallan_BP,0,1,0,127,136,126,127,144,146,127,129,104,3,15,7,2,5,-10,-3,2,1,0,0,0,-1,-1,-1,-1,-1,0,5.498209269913171e-22,92,72,46,30,0.9999843835830688,9.035128602157929e-38,443,397,334,296,0.9999899864196777
222,16.0,prbs31,Macallan_BP,0,1,0,128,137,125,127,144,145,127,129,108,4,15,7,0,5,-11,1,3,0,0,0,-1,-1,-1,0,-1,-1,0,5.168145458280591e-21,88,68,41,25,0.9996196031570435,8.624652517457861e-36,430,383,318,279,0.999994158744812
223,16.0,prbs31,Macallan_BP,0,1,0,129,138,123,125,141,142,127,129,102,5,15,7,0,7,-6,3,4,0,0,0,0,-1,-1,-1,-1,-1,0,2.507288236124595e-20,83,63,36,20,0.9991427063941956,8.97033546365067e-31,401,348,277,234,0.9998708963394165
224,16.0,prbs31,Macallan_BP,0,1,0,129,139,123,124,141,142,127,129,100,5,15,7,0,8,-7,-1,4,3,0,0,-1,-1,-1,-1,-2,-1,0,1.467331985885307e-20,82,63,36,21,0.9994081258773804,2.52589223198646e-32,414,363,293,251,0.9999901652336121
225,16.0,prbs31,Macallan_BP,0,1,0,129,139,123,125,141,142,127,129,100,5,15,7,0,7,-7,-1,4,3,0,0,-1,-1,-1,-1,-1,-1,0,1.8216029207621826e-19,79,58,30,13,0.9968674778938293,1.5768479758316638e-31,411,359,288,245,0.9999435544013977
226,16.0,prbs31,Macallan_BP,0,1,1,127,137,125,127,142,144,127,129,92,4,15,7,0,5,-11,1,2,-2,0,-1,-1,-1,-1,-1,-1,-1,0,2.3281197472237807e-21,84,66,40,25,0.999902069568634,4.3362668224328624e-35,415,368,304,266,0.9996016621589661
227,16.0,prbs31,Macallan_BP,0,1,1,129,138,123,125,140,142,127,129,89,5,15,7,0,7,-7,2,4,0,0,0,-1,-1,-1,-1,-1,-2,0,1.69637258499677e-18,72,51,23,6,0.9991043210029602,3.022394771893235e-30,395,342,270,227,0.9999399781227112
228,16.0,prbs31,Macallan_BP,0,1,1,129,138,124,125,141,142,127,129,100,5,15,7,0,7,-7,-1,4,3,0,0,-1,-1,-1,-1,-1,-1,0,5.634235442054337e-19,75,54,27,10,0.9998049139976501,1.419146634724124e-32,411,360,292,251,0.9998540282249451
229,16.0,prbs31,Macallan_BP,0,1,1,129,138,123,125,141,143,127,129,102,5,15,7,0,7,-6,3,4,0,0,0,-1,-1,-1,-1,-1,-1,0,1.9361942553137502e-19,78,57,30,13,0.9928649067878723,1.963553656571282e-28,390,334,257,211,0.9996203184127808
230,16.0,prbs31,Macallan_BP,0,1,1,128,138,123,125,140,141,127,129,96,5,15,7,0,7,-7,-5,5,6,0,0,0,-1,-1,-1,-1,-1,0,7.55746910169354e-20,76,57,31,15,0.9999998807907104,4.83885262055806e-30,385,333,263,220,0.9999909996986389
231,16.0,prbs31,Macallan_BP,0,1,1,127,136,125,126,142,143,127,129,96,4,15,7,0,5,-11,-7,3,6,-1,-1,0,-1,-1,-1,-1,-1,0,1.0549272399992638e-20,81,62,37,21,0.9995189309120178,4.967234355405221e-32,395,345,278,238,0.9999708533287048
232,16.0,prbs31,Macallan_BP,0,1,1,127,136,126,128,144,146,127,129,98,3,15,7,1,4,-11,-4,2,2,-1,0,-1,-1,-1,-1,-1,-1,0,3.0851467416507812e-24,94,77,54,40,0.9999789595603943,9.999936464761066e-41,461,418,360,325,0.998635470867157
233,16.0,prbs31,Macallan_BP,0,1,1,129,138,124,125,141,142,127,129,100,5,15,7,0,7,-6,-1,5,3,1,0,0,-1,-1,-1,-2,-2,0,9.845254763551045e-20,77,57,31,15,0.9998627305030823,4.576344121196735e-30,399,345,272,228,0.9999606609344482
234,16.0,prbs31,Macallan_BP,0,1,1,127,137,125,126,142,143,127,129,94,4,15,7,0,6,-11,5,3,-5,0,-1,-1,-2,-1,-1,-1,-1,0,7.5244364429598845e-22,85,67,42,28,0.9999668598175049,3.897616191688586e-31,375,326,261,221,0.9997687935829163
235,16.0,prbs31,Macallan_BP,0,1,2,128,137,123,124,140,141,127,129,88,5,15,7,0,7,-7,-1,4,3,0,0,0,-1,-1,-2,-1,-1,0,1.7216884785123186e-20,76,58,33,19,0.9990065097808838,5.955193664419765e-33,411,362,294,253,0.999550998210907
236,16.0,prbs31,Macallan_BP,0,1,2,128,138,124,125,140,141,127,129,93,5,15,7,0,7,-6,7,4,-4,0,0,-1,-1,-1,-1,-1,-1,0,1.1136477188128542e-18,71,51,23,7,0.9999146461486816,1.1984614447008792e-28,353,303,234,192,1.0
237,16.0,prbs31,Macallan_BP,0,1,2,127,136,125,127,141,143,127,129,96,4,15,7,0,5,-11,-7,3,6,0,0,-1,-1,-1,-1,-1,-1,0,4.094371066923491e-21,79,61,37,23,0.9998860359191895,1.2466767761996088e-30,386,335,266,224,0.9999808669090271
238,16.0,prbs31,Macallan_BP,0,1,2,129,138,124,125,140,142,127,129,92,5,15,7,0,7,-6,3,4,-1,0,0,-1,-1,-1,-1,-1,-1,0,1.6091164713652704e-20,77,59,34,19,0.9936732053756714,8.094215468507747e-30,394,340,267,223,0.9992945790290833
239,16.0,prbs31,Macallan_BP,0,1,2,128,138,124,125,140,141,127,129,88,5,15,7,0,6,-6,-1,4,2,0,0,-1,-1,-2,-1,-2,-1,0,9.030477985998627e-19,71,51,24,8,0.9982160329818726,1.5096353043417374e-30,402,349,277,233,0.9999309182167053
240,16.0,prbs31,Macallan_BP,0,1,2,127,137,125,126,142,144,127,129,90,4,15,7,0,5,-10,1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,2.124768478031908e-22,85,68,44,30,0.9999686479568481,1.2997030171432453e-36,431,385,321,283,0.9999946355819702
241,16.0,prbs31,Macallan_BP,0,1,2,128,136,125,127,142,143,127,129,90,4,15,7,0,5,-11,1,2,-2,-1,-1,-1,-1,-1,-1,-1,-2,0,1.75991676804309e-22,85,68,44,30,0.9979662895202637,2.780872749936597e-33,409,360,293,253,0.9996749758720398
242,16.0,prbs31,Macallan_BP,0,1,2,130,139,122,123,137,139,127,129,86,6,15,7,0,8,-3,5,5,-1,0,0,-1,-1,-1,-1,-2,-1,0,3.4523180623009133e-16,56,34,4,-13,0.9998464584350586,4.2708949699353736e-24,340,278,194,144,0.9975361227989197
243,16.0,prbs31,Macallan_BP,0,1,2,127,136,125,127,142,143,127,129,91,4,15,7,0,5,-11,3,2,-4,-1,0,-1,-1,-1,-1,-1,-1,0,1.2743669707226398e-20,80,61,36,20,0.9999604821205139,4.932398947900734e-32,389,341,274,234,0.9999679327011108
244,16.0,prbs31,Macallan_BP,0,1,3,127,136,126,127,141,143,127,129,87,4,15,7,0,5,-10,4,2,-5,-1,-1,-1,-1,-1,-1,-1,-1,0,7.187247011174128e-22,81,64,41,26,0.9999987483024597,1.5106308443321496e-30,366,317,252,212,0.9999850988388062
245,16.0,prbs31,Macallan_BP,0,1,3,130,138,122,124,137,139,127,129,86,6,15,7,0,8,-3,5,5,-1,1,0,-1,-1,-1,-1,-1,-1,0,3.74253912062037e-17,59,39,12,-4,0.9992852807044983,3.0194693877785805e-25,349,290,209,161,0.9996152520179749
246,16.0,prbs31,Macallan_BP,0,1,3,129,138,124,125,140,141,127,129,92,5,15,7,0,7,-7,3,4,-1,0,0,-1,-1,-1,-1,-1,-1,0,1.0005095101957921e-20,76,59,35,20,0.9999943375587463,9.391629634718214e-31,396,344,274,231,0.9998883008956909
247,16.0,prbs31,Macallan_BP,0,1,3,128,138,124,125,140,141,127,129,90,5,15,7,0,7,-6,3,4,0,0,0,-1,-1,-1,-1,-1,-1,0,7.463665498127328e-20,74,55,30,15,0.9999344944953918,2.275125642074709e-31,406,354,283,241,0.9998393058776855
248,16.0,prbs31,Macallan_BP,0,1,3,129,137,124,125,140,141,127,129,89,5,15,7,0,7,-6,2,4,0,0,0,-1,-1,-1,-1,-1,-1,0,3.0612610823923145e-20,75,56,32,17,0.9979794025421143,2.2230494579806544e-31,402,351,281,238,0.9999905824661255
249,16.0,prbs31,Macallan_BP,0,1,3,127,137,125,127,142,143,127,129,90,4,15,7,0,5,-10,1,3,-1,0,-1,-1,-1,-1,-1,-1,-1,0,7.581471080000701e-21,79,61,36,21,0.9982247948646545,3.64327651457671e-33,409,360,293,253,0.9999997615814209
250,16.0,prbs31,Macallan_BP,0,1,3,127,136,125,127,142,143,127,129,88,4,15,7,0,5,-10,-3,3,1,-1,-1,-1,-1,-1,-1,-1,-1,0,5.808083394733216e-21,78,60,36,21,0.999996542930603,5.560670030248297e-36,435,387,323,283,0.9999999403953552
251,16.0,prbs31,Macallan_BP,0,1,3,129,138,124,125,140,141,127,129,94,5,15,7,0,7,-6,7,4,-3,0,0,-1,-1,-1,-1,-1,-1,0,6.342276349329513e-21,76,59,35,21,0.9999690651893616,6.634931170720083e-27,349,295,221,177,0.9999780654907227
252,16.0,prbs31,Macallan_BP,0,1,3,129,137,124,125,140,141,127,129,88,5,15,7,0,7,-6,-1,4,2,0,0,0,-1,-1,-1,-1,-1,0,2.7290367848517345e-19,72,53,27,11,0.9997126460075378,8.015559657644503e-34,424,375,307,266,0.9999329447746277
253,16.0,prbs31,Macallan_BP,0,1,4,128,138,124,126,139,141,127,129,86,5,15,7,0,6,-6,3,4,-1,0,0,-1,-1,-1,-1,-1,-1,0,1.2710900016241335e-21,76,59,37,24,0.999489426612854,1.9692715409825902e-29,389,335,262,218,0.9999769330024719
254,16.0,prbs31,Macallan_BP,0,1,4,130,138,123,124,137,139,127,129,84,6,15,7,0,8,-3,1,4,3,0,0,0,-1,-1,-1,-1,-1,0,6.208269046174621e-17,57,37,10,-6,0.9955275654792786,7.6787612799053905e-28,379,323,246,200,0.9980444312095642
255,16.0,prbs31,Macallan_BP,0,1,4,128,137,124,125,140,141,127,129,86,5,15,7,0,7,-6,3,4,-1,0,0,-1,-1,-2,-1,-1,-2,0,2.3866259509462954e-19,70,51,26,11,0.9999998211860657,4.8375389863632385e-30,390,337,266,222,0.9997672438621521
256,16.0,prbs31,Macallan_BP,0,1,4,127,136,125,127,141,143,127,129,90,4,15,7,0,5,-10,1,3,-1,0,-1,0,-1,-1,-1,-1,-1,0,2.0610123588077062e-20,76,58,33,18,0.9997828602790833,2.830994437570509e-36,420,374,312,275,0.9988154172897339
257,16.0,prbs31,Macallan_BP,0,1,4,126,136,127,128,142,144,127,129,86,3,15,7,1,4,-10,0,2,-2,-1,-1,-1,-1,-1,-1,-1,-1,0,4.2261417601581175e-24,86,70,49,36,0.9995467066764832,3.4471282462563957e-36,413,368,307,270,0.9995471239089966
258,16.0,prbs31,Macallan_BP,0,1,4,128,138,124,126,140,141,127,129,88,5,15,7,0,6,-7,-1,4,3,0,0,-1,-1,-1,-1,-1,-1,0,6.51648193453828e-20,71,53,29,15,0.9986954927444458,2.1858183980652015e-31,404,352,282,240,0.9999985694885254
259,16.0,prbs31,Macallan_BP,0,1,4,128,138,124,125,140,141,127,129,88,5,15,7,0,7,-7,-1,4,3,0,0,-1,-1,-2,-1,-1,-1,0,2.118816651997426e-19,69,51,26,11,1.0,1.1752045423089785e-33,418,368,301,261,0.9997843503952026
260,16.0,prbs31,Macallan_BP,0,1,4,128,138,124,125,139,141,127,129,84,5,15,7,0,7,-6,0,4,2,0,0,-1,-1,-1,-2,-1,-1,0,3.2248941915682684e-19,69,50,25,10,0.9999977946281433,5.4883265583386806e-33,419,368,299,258,1.0
261,16.0,prbs31,Macallan_BP,0,1,4,128,138,124,125,140,141,127,129,86,5,15,7,0,7,-6,3,4,-1,0,0,-1,-1,-1,-1,-1,-1,0,8.616206367311249e-19,67,48,23,7,0.9999896883964539,5.369834370753568e-29,389,334,259,214,0.9994556307792664
262,16.0,prbs31,Macallan_BP,0,1,5,128,137,124,126,139,141,127,129,84,5,15,7,0,6,-6,-1,4,2,0,0,0,-1,0,-1,-1,-1,0,5.624876709517148e-18,62,43,17,1,0.9998351335525513,3.6375474291255824e-32,410,359,290,248,0.9991961717605591
263,16.0,prbs31,Macallan_BP,0,1,5,128,137,124,126,139,141,127,129,84,5,15,7,0,6,-6,0,4,2,0,0,0,-1,-1,-1,-1,-1,0,2.7531355812896055e-19,67,50,25,11,0.9971174001693726,4.132620935453982e-32,407,357,288,246,0.9999995827674866
264,16.0,prbs31,Macallan_BP,0,1,5,129,138,124,125,138,138,127,129,84,6,15,7,0,7,-3,1,5,3,0,0,0,-1,-1,-1,-1,-1,0,4.975876069240776e-17,56,36,10,-5,0.9999862313270569,3.804322098333071e-28,386,329,252,206,0.9996083974838257
265,16.0,prbs31,Macallan_BP,0,1,5,128,137,124,126,139,141,127,129,84,5,15,7,0,6,-6,0,3,2,0,0,-1,-1,-1,-1,-1,-1,0,1.2726308709055396e-19,68,50,27,12,0.9999122619628906,3.1909154663564295e-29,398,342,267,221,0.9990089535713196
266,16.0,prbs31,Macallan_BP,0,1,5,128,137,124,126,139,141,127,129,84,5,15,7,0,6,-6,-1,4,2,0,0,-1,-1,-1,-1,-1,-1,0,1.050236722526506e-19,69,51,27,13,0.9998548030853271,1.987160814972975e-31,403,351,281,239,0.9999997615814209
267,16.0,prbs31,Macallan_BP,0,1,5,129,137,124,126,139,141,127,129,87,5,15,7,0,7,-6,6,4,-4,0,0,-1,-1,-1,-1,-1,-1,0,1.2046174177281617e-19,69,51,27,13,0.9996858239173889,6.930179700740489e-26,331,276,203,158,0.9998085498809814
268,16.0,prbs31,Macallan_BP,0,1,5,128,137,124,126,139,141,127,129,84,5,15,7,0,6,-6,0,4,2,0,0,-1,-1,-1,-1,-1,-1,0,3.993791171600863e-19,67,49,24,9,0.995150625705719,3.3987566285603545e-32,415,363,293,251,0.9998950958251953
269,16.0,prbs31,Macallan_BP,0,1,5,128,137,124,126,139,141,127,130,84,5,15,7,0,6,-6,0,3,2,0,0,-1,-1,-1,-1,-1,-1,0,7.916293388014545e-20,68,51,28,14,0.9998089075088501,9.231588156102425e-34,419,370,303,262,0.9972307085990906
270,16.0,prbs31,Macallan_BP,0,1,5,127,136,126,128,141,143,127,129,84,4,15,7,0,5,-10,-3,3,1,-1,0,-1,-1,-1,-1,-1,-1,0,1.23528011466974e-21,76,59,37,24,0.9993467330932617,1.7725667893454945e-37,437,391,328,291,0.99992835521698
271,16.0,prbs31,Macallan_BP,1,1,0,128,138,123,124,141,142,127,129,96,5,15,7,0,7,-7,-5,4,7,0,0,0,0,-1,-1,-1,-1,0,2.0918560123702777e-20,81,62,35,19,0.9995853900909424,3.174933988000214e-30,388,336,265,222,0.9996892809867859
272,16.0,prbs31,Macallan_BP,1,1,0,129,139,124,125,142,143,127,129,102,5,15,7,0,7,-7,3,4,0,0,0,-1,-1,-1,-1,-1,-1,0,1.4401363032309962e-19,81,60,32,15,0.9999828338623047,1.0956602620297728e-31,409,358,287,244,0.9997443556785583
273,16.0,prbs31,Macallan_BP,1,1,0,127,136,126,128,145,147,127,129,102,3,15,7,1,5,-11,-1,2,-1,0,0,-1,-1,-1,-1,-1,-1,0,4.675272249104199e-26,103,86,63,50,0.9999207258224487,2.1037451796019544e-37,439,393,330,292,0.9999319314956665
274,16.0,prbs31,Macallan_BP,1,1,0,127,137,125,126,143,145,127,129,94,4,15,7,0,6,-11,4,3,-5,-1,0,-1,-1,-2,-1,-1,-1,0,2.0384419433361037e-22,90,72,47,32,0.9996576309204102,8.806824743470918e-34,396,349,286,248,0.9999992847442627
275,16.0,prbs31,Macallan_BP,1,1,0,129,138,123,125,142,143,127,129,102,5,15,7,0,7,-6,3,5,0,0,0,0,-1,-1,0,-1,-1,0,2.2999257520145655e-20,83,63,36,20,0.9988471269607544,5.24609394567605e-32,416,364,293,250,0.9986250996589661
276,16.0,prbs31,Macallan_BP,1,1,0,127,136,124,126,143,144,127,129,96,4,15,7,0,6,-11,-7,3,6,-1,0,-1,-1,-1,-1,-1,-1,0,7.485702422039091e-23,91,73,48,34,0.9999359250068665,3.151892998914467e-36,421,375,313,275,0.9999314546585083
277,16.0,prbs31,Macallan_BP,1,1,0,127,136,125,126,143,144,127,129,94,4,15,7,0,5,-11,5,2,-5,-1,0,0,-1,-1,-1,-1,-1,0,7.765645431512173e-21,85,66,39,23,0.9994072318077087,1.0755605909651812e-29,369,318,250,208,0.9999996423721313
278,16.0,prbs31,Macallan_BP,1,1,0,128,137,125,127,144,145,127,129,102,4,15,7,0,6,-11,1,3,-1,0,0,-1,-1,-1,-1,-1,-1,0,5.42160211742878e-25,99,82,58,44,0.9999996423721313,3.8647140096848725e-36,427,380,317,278,0.9990786910057068
279,16.0,prbs31,Macallan_BP,1,1,0,127,136,125,126,143,144,127,129,96,4,15,7,0,6,-11,-7,3,6,0,-1,0,-1,-1,-1,-1,-1,0,8.191842588859307e-23,90,72,48,33,0.9999952912330627,4.981019197641194e-34,409,361,296,257,0.9999998807907104
280,16.0,prbs31,Macallan_BP,1,1,1,130,139,122,123,138,140,127,129,86,6,15,7,0,8,-3,5,5,-1,0,0,-1,-1,-2,-1,-1,-1,0,1.1914003852643543e-17,66,45,16,0,0.9999972581863403,1.1081271248659844e-28,379,325,251,207,0.9999731779098511
281,16.0,prbs31,Macallan_BP,1,1,1,127,136,125,127,143,144,127,129,88,4,15,7,0,5,-11,-3,3,2,-1,0,-1,-1,-2,-1,-1,-1,0,3.572332387406068e-24,92,75,53,39,0.9973984360694885,6.247111306448203e-38,442,396,334,296,0.9993351101875305
282,16.0,prbs31,Macallan_BP,1,1,1,128,137,123,125,141,142,127,129,90,5,15,7,0,7,-6,3,4,-1,0,0,-1,-1,-1,-1,-2,-1,0,3.715525010164519e-21,83,64,39,24,0.9992231726646423,1.986621149867523e-31,404,352,282,239,0.9998153448104858
283,16.0,prbs31,Macallan_BP,1,1,1,126,135,126,128,144,146,127,129,90,3,15,7,1,4,-11,-1,2,-2,-1,-1,-1,-1,-1,-1,-1,-1,0,1.000579165882305e-24,96,79,56,42,0.9999416470527649,9.999936464761066e-41,449,407,349,314,0.998100221157074
284,16.0,prbs31,Macallan_BP,1,1,1,128,137,124,125,141,142,127,129,96,5,15,7,0,7,-6,-5,4,7,0,0,0,-1,-1,-1,-1,-1,0,8.232386350368317e-22,83,66,41,27,0.9951457977294922,2.7847635930113007e-29,377,325,253,210,0.9999866485595703
285,16.0,prbs31,Macallan_BP,1,1,1,127,136,125,127,143,144,127,129,96,4,15,7,0,5,-11,-7,3,6,0,0,-1,-1,-1,-1,-1,-1,0,3.2330813642004127e-24,91,75,52,39,0.9995532631874084,2.49854233980384e-32,400,351,283,243,0.9996565580368042
286,16.0,prbs31,Macallan_BP,1,1,1,128,138,124,125,141,142,127,129,94,5,15,7,0,6,-6,7,4,-4,0,0,-1,-1,-1,-1,-1,-1,0,2.884337829394064e-19,76,56,28,12,0.9987716674804688,2.2091080889403443e-27,355,301,228,183,0.9997665882110596
287,16.0,prbs31,Macallan_BP,1,1,1,129,138,123,125,140,142,127,129,86,5,15,7,0,7,-7,3,3,-1,0,0,-1,-1,-2,-1,-1,-1,0,2.038447264418586e-20,79,60,34,19,0.9985566735267639,8.16775394084163e-31,397,345,274,231,0.9999309182167053
288,16.0,prbs31,Macallan_BP,1,1,1,127,136,125,127,143,144,127,129,96,4,15,7,0,5,-11,-7,3,6,0,0,0,-1,-1,-1,-1,-1,0,6.458297375638475e-22,86,68,43,28,0.9993400573730469,1.4839824574952486e-31,397,347,278,236,0.9998622536659241
289,16.0,prbs31,Macallan_BP,1,1,2,127,136,125,127,142,144,127,129,88,4,15,7,0,5,-10,-3,2,1,-1,0,-1,-1,-1,-1,-1,-1,0,1.7932099436178805e-23,89,72,49,35,0.9999129772186279,2.7589242950682157e-38,444,399,337,299,0.99998939037323
290,16.0,prbs31,Macallan_BP,1,1,2,129,138,124,125,141,142,127,129,90,5,15,7,0,7,-6,3,4,0,0,0,-1,-1,-1,-1,-1,-1,0,1.1050415527110398e-19,77,57,31,14,0.9996285438537598,1.6564466108510582e-35,432,384,319,279,0.9998534917831421
291,16.0,prbs31,Macallan_BP,1,1,2,129,138,124,125,141,142,127,129,92,5,15,7,0,7,-6,3,4,-1,0,0,-1,-1,-1,-1,-1,-1,0,3.991393264972605e-20,78,59,33,17,0.9999565482139587,8.549105793513324e-32,410,358,288,245,0.9999984502792358
292,16.0,prbs31,Macallan_BP,1,1,2,127,136,125,127,142,144,127,129,88,4,15,7,0,5,-11,-3,3,2,-1,-1,-1,-1,-1,-1,-1,-1,0,2.1614094159154064e-22,86,68,44,30,0.9999649524688721,1.724600597183799e-39,443,399,339,303,0.9996140599250793
293,16.0,prbs31,Macallan_BP,1,1,2,128,138,124,126,141,142,127,129,90,5,15,7,0,6,-6,2,4,0,0,0,0,-1,-1,-1,-1,-1,0,1.5457824448784168e-20,80,61,35,20,0.9869389533996582,1.5348973223090744e-35,434,386,320,281,0.9999553561210632
294,16.0,prbs31,Macallan_BP,1,1,2,127,136,126,127,143,144,127,129,89,4,15,7,0,5,-11,0,3,-1,0,-1,0,-1,-1,-1,-1,-1,0,2.2194121677592734e-21,83,65,40,25,0.9986205697059631,1.0681652496110344e-34,426,377,311,271,0.9999392032623291
295,16.0,prbs31,Macallan_BP,1,1,2,127,137,126,127,143,144,127,129,90,4,15,7,0,5,-11,1,3,-1,0,-1,-1,-1,-1,-1,-1,-1,0,1.6808471865286316e-23,89,72,49,35,0.9997387528419495,2.6107775786849555e-35,423,376,311,272,0.9999964833259583
296,16.0,prbs31,Macallan_BP,1,1,2,127,136,126,128,144,146,127,129,92,3,15,7,1,4,-11,0,1,-2,0,-1,-1,-1,-1,-1,-1,-1,0,1.670336778188101e-24,93,77,54,41,0.998967170715332,6.905015312205122e-40,447,403,343,307,0.9999982714653015
297,16.0,prbs31,Macallan_BP,1,1,2,130,139,123,124,138,140,127,129,86,6,15,7,0,8,-3,5,5,-1,0,0,-1,-1,-1,-2,-1,-2,0,9.298852746018078e-18,65,45,17,0,0.9999436140060425,9.816722638688958e-26,358,299,218,170,0.999705970287323
298,16.0,prbs31,Macallan_BP,1,1,3,127,136,126,128,142,144,127,129,88,4,15,7,0,4,-10,-3,3,2,-1,0,-1,-1,-1,-1,-1,-1,0,2.6589772880287885e-22,84,67,43,29,0.9972463250160217,9.999936464761066e-41,458,414,355,319,0.9999423623085022
299,16.0,prbs31,Macallan_BP,1,1,3,128,137,124,125,140,142,127,129,86,5,15,7,0,6,-6,3,4,-1,0,0,-1,0,-1,-1,-1,-1,0,3.00335367997395e-19,72,53,27,11,0.9994778037071228,1.941222075909371e-32,409,359,290,249,0.9999619722366333
300,16.0,prbs31,Macallan_BP,1,1,3,129,137,124,126,140,142,127,129,84,5,15,7,0,6,-7,-1,3,2,0,0,-1,-1,-1,-1,-1,-1,0,1.884453496111324e-20,75,57,33,18,0.9999902844429016,2.060385241493815e-34,429,379,312,272,0.9998597502708435
301,16.0,prbs31,Macallan_BP,1,1,3,128,137,124,126,140,142,127,129,84,5,15,7,0,6,-6,-1,4,2,0,0,-1,-1,-2,-1,-1,-1,0,7.063689326931949e-20,74,56,30,15,0.9999426007270813,2.2021121152390864e-31,410,357,286,243,0.999825656414032
302,16.0,prbs31,Macallan_BP,1,1,3,128,138,124,126,141,142,127,129,86,5,15,7,0,6,-6,3,4,-1,0,0,-1,-1,-1,-1,-1,-1,0,5.063881632055939e-19,72,52,26,10,0.9999984502792358,3.268411784587246e-33,414,364,297,256,0.9999455213546753
303,16.0,prbs31,Macallan_BP,1,1,3,128,137,124,125,141,142,127,129,86,5,15,7,0,6,-6,3,4,-1,0,0,-1,-1,-1,-1,-1,-1,0,7.476937625723368e-21,78,60,36,21,0.9983190894126892,5.152647095296388e-31,397,345,275,233,0.9996277689933777
304,16.0,prbs31,Macallan_BP,1,1,3,127,136,125,127,142,144,127,129,86,4,15,7,0,5,-10,1,2,-2,0,0,-1,-1,-1,-1,-1,-1,0,7.130775157740605e-22,83,65,42,27,0.999778687953949,3.996395571088276e-37,432,386,324,286,0.9998334646224976
305,16.0,prbs31,Macallan_BP,1,1,3,128,137,124,126,141,142,127,129,84,5,15,7,0,6,-6,-1,4,2,0,0,-1,-1,-1,-1,-2,-1,0,2.1018336613514928e-20,76,58,33,18,0.994767427444458,2.2135363217588303e-32,415,364,294,252,0.9999855756759644
306,16.0,prbs31,Macallan_BP,1,1,3,128,137,124,125,140,142,127,129,84,5,15,7,0,6,-6,0,4,2,0,0,-1,-1,-1,-1,-1,-1,0,9.346166843359726e-21,77,59,35,20,0.999963104724884,1.3296870528809677e-32,418,367,297,255,0.999608039855957
307,16.0,prbs31,Macallan_BP,1,1,4,127,136,126,127,142,144,127,129,86,4,15,7,0,5,-10,1,2,-2,-1,-1,-1,-1,-1,-1,-1,-2,0,2.832988307406716e-22,82,65,42,28,0.9940089583396912,3.395776661517197e-36,422,376,313,275,0.9999121427536011
